repo,description
AsyncHttpClient/async-http-client,Asynchronous Http and WebSocket Client library for Java 
agoncal/agoncal-book-javaee7,Code of my Java EE 7 Book
pveentjer/Multiverse,Software Transactional Memory Implementation for the JVM
infinitest/infinitest,Infinitest: The Continuous Test Runner for the JVM
apache/karaf,Mirror of Apache Karaf
UniversalMediaServer/UniversalMediaServer,A DLNA - UPnP and HTTP(S) Media Server.
mfornos/humanize,Java facility for adding a “human touch” to data.
apache/commons-lang,Mirror of Apache Commons Lang
jenkinsci/performance-plugin,Performance Test Running and Reporting for Jenkins CI
caelum/caelum-stella,O Caelum Stella visa suprir as necessidades do dia a dia do desenvolvedor brasileiro
openstreetmap/osmosis,Osmosis is a command line Java application for processing OSM data.
gwt-test-utils/gwt-test-utils,gwt-test-utils is a Java framework that allows to test GWT client side code in a efficient - easy way
jenkinsci/email-ext-plugin,Jenkins email-ext plugin
SquidPony/SquidLib,Useful tools for roguelike - role-playing - strategy - and other grid-based games in Java. Feedback is welcome!
hdiv/hdiv,Hdiv CE | Application Self-Protection
poidasmith/winrun4j,WinRun4J Java Application Launcher
rabbitmq/rabbitmq-java-client,RabbitMQ Java client
airlift/airlift,Airlift framework for building REST services
apache/accumulo,Apache Accumulo
damnhandy/Handy-URI-Templates,A Java URI Template processor implementing RFC6570
grundid/nfctools,nfctools library for Java
digital-preservation/droid,DROID (Digital Record and Object Identification)
apache/maven-surefire,Apache Maven Surefire
apache/cxf,Apache CXF
freemarker/freemarker-old,Repo moved to Apache Incubator! - FreeMarker template engine
gresrun/jesque,An implementation of Resque in Java.
DiUS/java-faker,Brings the popular ruby faker gem to Java
springtestdbunit/spring-test-dbunit,Integration between the Spring testing framework and DBUnit
JetBrains/intellij-plugins,Open-source plugins included in the distribution of IntelliJ IDEA Ultimate and other IDEs based on the IntelliJ Platform
mkarneim/pojobuilder,A Java Code Generator for Pojo Builders
apache/tika,Mirror of Apache Tika
mtotschnig/MyExpenses,GPL licenced Android Expense Tracking App
rafaelsteil/jforum3,JForum 3. No longer maintained - kept here for historical reasons
aragozin/jvm-tools,Small set of tools for JVM troublshooting - monitoring and profiling.
lukas-krecan/JsonUnit,Compare JSON in your Unit Tests
psiegman/epublib,a java library for reading and writing epub files
ha-jdbc/ha-jdbc,High-Availability Java Database Connectivity
boncey/Flickr4Java,Java API For Flickr. Fork of FlickrJ
killme2008/aviator,A high performance expression evaluator for java 
gitblit/iciql,a model-based - database access wrapper for JDBC 
AdamBien/lightfish,Payara / GlassFish Monitoring Utility
robo-code/robocode,Build the best - destroy the rest!
preon/preon,Bit syntax for Java
huxi/lilith,Lilith is a Logging- and AccessEvent viewer for Logback - log4j - log4j2 and java.util.logging
apache/commons-io,Mirror of Apache Commons IO
jfree/jfreechart-fse,JFreeChart - Future State Edition
