repo,description
viskell/viskell,Visual programming meets Haskell
NextFaze/power-adapters,Composable adapters for Android RecyclerViews and ListViews
debezium/debezium,Change data capture for a variety of databases. https://debezium.io Please log issues in our JIRA at https://issues.jboss.org/projects/DBZ/issues
mercyblitz/confucius-commons,Confucius Commons project is focus on Java commons utility library  - it's not a duplicate for Apache Commons or Spring  - but supplement. Required : SUN JDK 6+
LogNet/grpc-spring-boot-starter,Spring Boot starter module for gRPC  framework. 
wso2/msf4j,WSO2 Microservices Framework for Java (MSF4J)
neuroph/neuroph,Java Neural Network Framework Neuroph
quarks-edge/quarks,Quarks is an open source programming model and runtime for edge devices that enables you to analyze data and events at the device.
tlaplus/tlaplus,TLC is an explicit state model checker for specifications written in TLA+. The TLA+Toolbox is an IDE for TLA+.   
jfree/jfreechart,A 2D chart library for Java applications (JavaFX - Swing or server-side).
graphhopper/jsprit,jsprit is a java based - open source toolkit for solving rich vehicle routing problems
reactor/reactor-addons,Official modules for the Reactor project
k3b/APhotoManager,Manage local photos on Android: gallery - geotag with photomap - privacy - tags - find - sort - view - copy - send - ... .
SonarSource/sonarlint-intellij,SonarLint for IntelliJ
SonarSource/sonarlint-eclipse,SonarLint for Eclipse
emorynlp/nlp4j,NLP framework for JVM languages.
greenrobot/essentials,General purpose utilities and hash functions for Android and Java (aka java-common)
domeos/server,This is the web server of domeos. QQ group: 257691628
Alluxio/alluxio,Alluxio - data orchestration for analytics and machine learning in the cloud
fabric8io/docker-maven-plugin,Maven plugin for running and creating Docker images
Microsoft/thrifty,Thrift for Android that saves you methods
lealone/Lealone,极具创新的面向单机与分布式OLTP场景的异步化NewSQL关系数据库
chocoteam/choco-solver,An open-source Java library for Constraint Programming
Karumi/Rosie,Rosie is an Android framework to create applications following the principles of Clean Architecture.
DataSystemsLab/GeoSpark,A Cluster Computing System for Processing Large-Scale Spatial Data
ltsopensource/light-task-scheduler,Distributed Scheduled Job Framework
linkedin/WhereHows,A Generalized Metadata Search & Discovery Tool
PebbleTemplates/pebble,Java Template Engine
RestComm/Restcomm-Connect,The Open Source Cloud Communications Platform
ozimov/spring-boot-email-tools,A set of services and tools for sending emails in a Spring Boot 1.5.x application using a Template Engine
btraceio/btrace,BTrace - a safe - dynamic tracing tool for the Java platform
palantir/docker-compose-rule,A JUnit rule to manage docker containers using docker-compose
usethesource/rascal,The implementation of the Rascal meta-programming language (including interpreter - type checker - parser generator - compiler and JVM based run-time system)
ctripcorp/apollo,Apollo（阿波罗）是携程框架部门研发的分布式配置中心，能够集中化管理应用不同环境、不同集群的配置，配置修改后能够实时推送到应用端，并且具备规范的权限、流程治理等特性，适用于微服务配置管理场景。
Microsoft/azure-tools-for-java,Azure tools for Java - including Azure Toolkits for Eclipse - IntelliJ and related projects.
wcong/learn-java,example of learn java
junit-team/junit4,A programmer-oriented testing framework for Java.
codenvy/codenvy,Codenvy
javolution/javolution, Java Core Library for Real-Time and Embedded Systems
mybatis/spring-boot-starter,MyBatis integration with Spring Boot
rakam-io/rakam,📈 Collect customer event data from your apps. (Note that this project only includes the API collector - not the visualization platform)
epam/JDI,Try JDI Light https://github.com/jdi-testing/jdi-light
quartz-scheduler/quartz,Code for Quartz Scheduler
graphaware/graph-aided-search,Elasticsearch plugin offering Neo4j integration for Personalized Search
liferay/liferay-blade-samples,
amaembo/huntbugs,Java bytecode static analyzer
eventsourcing/es4j,Event capture and querying framework for Java
chengzhx76/Weixin-Dubbo,一个商城项目，SpringCloud版本https://github.com/chengzhx76/weixin-shop-spring-cloud
airbnb/reair,ReAir is a collection of easy-to-use tools for replicating tables and partitions between Hive data warehouses.
hidroh/calendar,Simple event calendar - with agenda view
line/line-bot-sdk-java,LINE Messaging API SDK for Java
mapbox/mapbox-java,The Mapbox Java SDK – Java wrappers around Mapbox APIs and other location data 
RUB-NDS/TLS-Attacker,TLS-Attacker is a Java-based framework for analyzing TLS libraries. It is developed by the Ruhr University Bochum (http://nds.rub.de/) and the Hackmanit GmbH (http://hackmanit.de/). 
FasterXML/jackson-dataformats-binary,Uber-project for standard Jackson binary format backends: avro - cbor - protobuf - smile
linkedin/ambry,Distributed object store
leventov/Koloboke,Java Collections till the last breadcrumb of memory and performance
twitter/distributedlog,A high performance replicated log service. (The development is moved to Apache Incubator)
apereo/java-cas-client,Apereo Java CAS Client
brianway/spring-learning,Spring 学习笔记，通过例子展示和剖析实现机制
blockchain/thunder,Off-Chain Bitcoin payments using smart contracts 
firebase/firebase-jobdispatcher-android,DEPRECATED please see the README.md below for details.
jenkinsci/java-client-api,A Jenkins API client for Java
rest-assured/rest-assured,Java DSL for easy testing of REST services
shekhargulati/99-problems,This is an adaptation of the Ninety-Nine Prolog Problems written by Werner Hett.
Camelcade/Perl5-IDEA,Perl5 plugins for IntelliJ IDEA
jline/jline3,JLine is a Java library for handling console input.
mesosphere/dcos-cassandra-service,DEPRECATED—Open source Apache Cassandra running on DC/OS is now replaced by mesosphere/dcos-commons/frameworks/cassandra.  This repository will be deleted at the end of 2017.
ground-context/ground,An open-source - vendor-neutral data context service.
flankerhqd/JAADAS,Joint Advanced Defect assEsment for android applications
hawkular/hawkular-apm,This project is now deprecated - in favor of CNCF's Jaeger (was: Distributed Tracing and Application Performance Management)
apache/apex-core,Mirror of Apache Apex core
ilscipio/scipio-erp,Your Online Business Kit - Build your own business applications. Create your own online shop. Customize to your own needs.
nextcloud/android,📱 Nextcloud Android app
GoogleCloudPlatform/app-gradle-plugin,Gradle plugin to build and deploy Google App Engine applications.
javahongxi/whatsmars,Java生态研究(Spring Boot + Redis + Dubbo + RocketMQ + Elasticsearch)🔥🔥🔥🔥🔥
OneSignal/OneSignal-Android-SDK,OneSignal is a free push notification service for mobile apps. This plugin makes it easy to integrate your native Android or Amazon app with OneSignal. https://onesignal.com
apache/zeppelin,Mirror of Apache Zeppelin
apache/asterixdb,Mirror of Apache AsterixDB
apache/tinkerpop,Apache TinkerPop - a graph computing framework
jhalterman/failsafe,Fault tolerance and resilience patterns for the JVM
treasure-data/digdag,Workload Automation System
awaitility/awaitility,Awaitility is a small Java DSL for synchronizing asynchronous operations
NationalSecurityAgency/timely,Accumulo backed time series database
skyfe79/LearningOpenGLES2-Android,Learning OpenGL ES 2 in Java for Android
Nike-Inc/wingtips,Wingtips is a distributed tracing solution for Java based on the Google Dapper paper.
alibaba/weex,A framework for building Mobile cross-platform UI
zalando/tokens,Java library for conveniently verifying and storing OAuth 2.0 service access tokens
nielsbasjes/yauaa,Yet Another UserAgent Analyzer
authorjapps/zerocode,A community-developed - free - open source - declarative API automation and load testing framework built using Java JUnit core runners for Http REST - SOAP - Security - Database - Kafka and much more. It enables to create and maintain test-cases with absolute ease.
NemProject/nem.core,org.nem.core package
deeplearning4j/DataVec,ETL Library for Machine Learning - data pipelines - data munging and wrangling
commonsguy/cwac-netsecurity,CWAC-NetSecurity: Simplifying Secure Internet Access
bazelbuild/intellij,IntelliJ plugin for Bazel projects
VictorAlbertos/Mockery,Android and Java library for mocking and testing networking layers with built-in support for Retrofit.
scoute-dich/K9-MailClient,Fork of the android k9 mail client with material design. Mind SDK 21.
splicemachine/spliceengine,The SpliceSQL Engine
yandex/clickhouse-jdbc,JDBC driver for ClickHouse
joinfaces/joinfaces,JoinFaces: JSF Spring Boot Starters - JSF inside Spring Boot Application
NationalSecurityAgency/lemongrenade,Data-driven automation platform
ebean-orm/ebean,Ebean ORM
bootique/bootique,Bootique is a minimally opinionated platform for modern runnable Java apps.
in28minutes/MockitoTutorialForBeginners,Mockito Tutorial for Beginners
jojoldu/blog-code,http://jojoldu.tistory.com/ 에서 제공하는 예제 code
vimeo/stag-java,Speedy Type Adapter Generation
apache/incubator-edgent,Mirror of Apache Edgent (Incubating)
sunnykaka/mysteam,mysteam主要用来演示Spring Cloud与Netflix OSS在微服务系统中的使用.
wenhao/jpa-spec,A JPA Query By Specification framework.
box/mojito,An automation platform that enables continuous localization.
gazbert/bxbot,A simple Bitcoin trading bot written in Java.
airbnb/epoxy,Epoxy is an Android library for building complex screens in a RecyclerView
oshi/oshi,Native Operating System and Hardware Information
vmware/admiral,Container management solution with an accent on modeling containerized applications and provide placement based on dynamic policy allocation
dhis2/dhis2-core,DHIS 2 Core. Written in Java. Contains the service layer and Web API.
mopemope/meghanada-server,A Java IDE Server for your editor. Java IDE-like features to your favourite text editor.
FudanNLP/fnlp,中文自然语言处理工具包 Toolkit for Chinese natural language processing
twitter/GraphJet,GraphJet is a real-time graph processing library.
ScaCap/spring-auto-restdocs,Spring Auto REST Docs is an extension to Spring REST Docs
GlenKPeterson/Paguro,Immutable Collections and Functional Transformations for the JVM
web3j/web3j,Lightweight Java and Android library for integration with Ethereum clients
spring-projects/spring-vault,Provides familiar Spring abstractions for HashiCorp Vault
hzxie/voj,Cross-platform online judge system based on Spring MVC framework and ActiveMQ.
redisson/redisson,Redisson - Redis Java client with features of In-Memory Data Grid. Over 50 Redis based Java objects and services: Set - Multimap - SortedSet - Map - List - Queue - Deque - Semaphore - Lock - AtomicLong - Map Reduce - Publish / Subscribe - Bloom filter - Spring Cache - Tomcat - Scheduler - JCache API - Hibernate - MyBatis - RPC ...
soabase/exhibitor,ZooKeeper co-process for instance monitoring - backup/recovery - cleanup and visualization.
awslabs/emr-dynamodb-connector,Implementations of open source Apache Hadoop/Hive interfaces which allow for ingesting data from Amazon DynamoDB
NightscoutFoundation/xDrip,Nightscout version of xDrip+
Baeldung/spring-security-oauth,Just Announced - "Learn Spring Security OAuth": 
gchq/Gaffer,A large-scale entity and relation database supporting aggregation of properties
uber/uReplicator,Improvement of Apache Kafka Mirrormaker
guolindev/booksource,《第一行代码 第2版》全书源代码
androidannotations/androidannotations,Fast Android Development. Easy maintainance.
OpenVidu/openvidu,OpenVidu Platform main repository
0opslab/opslabJutil,Java utils
michaelliao/cryptocurrency,Simple Java library to interact with bitcoin
google/nomulus,Top-level domain name registry service on Google App Engine
javaparser/javasymbolsolver,*old repository* --> this is now integrated in https://github.com/javaparser/javaparser
zanata/zanata-platform,Zanata is a web-based system for translators to translate documentation and software online using a web browser.
networknt/light-oauth2,A fast - light and cloud native OAuth 2.0 authorization microservices based on light-4j
alexstyl/Memento-Calendar,The sweetest calendar for Android
mauricioaniche/repodriller,a tool to support researchers on mining software repositories studies
salesforce/Argus,Time series monitoring and alerting platform.
Tesco/mewbase,Event Sourcing and CQRS Toolkit for JVM languages 
eclipse/lsp4j,A Java implementation of the language server protocol intended to be consumed by tools and language servers implemented in Java.
Microsoft/mssql-jdbc,The Microsoft JDBC Driver for SQL Server is a Type 4 JDBC driver that provides database connectivity with SQL Server through the standard JDBC application program interfaces (APIs).
bertrandmartel/speed-test-lib,:cloud: JSpeedTest : speed test client library for Java/Android
Waffle/waffle,Enable drop-in Windows Single Sign On for popular Java web servers.
uber/chaperone,A Kafka audit system
spotify/styx,"The path to execution" - Styx is a service that schedules batch data processing jobs in Docker containers on Kubernetes.
codeabovelab/haven-platform,Haven is an open source Docker container management system. It integrates container - application - cluster - image - and registry management in one single place. 
GoSimpleLLC/nbvcxz,Password strength estimator
dsyer/spring-boot-startup-bench,Benchmarks for Spring Boot startup
vaadin/framework,Vaadin 6 - 7 - 8   is a Java framework for modern Java web applications.
Netflix/hollow,Hollow is a java library and toolset for disseminating in-memory datasets from a single producer to many consumers for high performance read-only access.
apache/geode,Apache Geode
thingsboard/thingsboard,Open-source IoT Platform - Device management - data collection - processing and visualization.
fishercoder1534/Leetcode,Complete solutions to Leetcode problems; updated daily. Subscribe to my YouTube channel for more.
knightliao/CanalX,基于 `Canal` 的数据感知服务框架. 可用于围绕数据库`Mysql`进行数据相关的各式业务开发 - 并建立各式各样的服务平台. 
android10/frodo2,Android Library for Logging RxJava2 Components
davidmoten/rxjava2-extras,Utilities for use with RxJava 2
kickstarter/android-oss,Kickstarter for Android. Bring new ideas to life - anywhere.
androidthings/contrib-drivers,Open source peripheral drivers
zalando/zalenium,A flexible and scalable container based Selenium Grid with video recording - live preview - basic auth & dashboard.
jhipster/jhipster,JHipster BOM and server-side library
hortonworks/registry,Schema Registry
allure-framework/allure2,Allure Framework is a flexible lightweight multi-language test reporting tool. It provides clear graphical reports and allows everyone involved in the development process extract maximum of information from everyday testing process.
lukas-krecan/ShedLock,Distributed lock for your scheduled tasks
allure-framework/allure1,Allure 1 isn't supported any more - please consider using Allure 2 https://github.com/allure-framework/allure2 instead
SpectoLabs/hoverfly-java,Java binding for Hoverfly
shunfei/indexr,An open-source columnar data format designed for fast & realtime analytic with big data.
spring-projects/sts4,The next generation of tooling for Spring Boot - including support for Cloud Foundry manifest files - Concourse CI pipeline definitions - BOSH deployment manifests - and more... - Available for Eclipse - Visual Studio Code - and Theia
apache/beam,Apache Beam is a unified programming model for Batch and Streaming
apache/eagle,Mirror of Apache Eagle
byhieg/JavaTutorial,Java教程，包括多线程，泛型，反射，IO，容器类 -注解
yidongnan/grpc-spring-boot-starter,Spring Boot starter module for gRPC framework.
habanero-rice/PCDP,
kohsuke/jenkins,Jenkins Continuous Integration server
JanusGraph/janusgraph,JanusGraph: an open-source - distributed graph database
yahoo/athenz,Athenz is a role-based authorization (RBAC) system for provisioning and configuration (centralized authorization) use cases as well as serving/runtime (decentralized authorization) use cases.
openhab/openhab1-addons,Add-ons for openHAB 1.x
ozlerhakan/poiji,:candy: A tiny library converting excel rows to a list of Java objects based on Apache POI
Zhuinden/simple-stack,[ACTIVE] Simple Stack - a backstack library for simpler navigation between views - fragments - or whatevers.
google/volley,
simon987/Much-Assembly-Required,Assembly programming game
apache/ranger,Mirror of Apache Ranger
samuelhuahui/OdyAndroidStore,安卓开发宝典
OvercastNetwork/ProjectAres,Bukkit/Bungee plugins from the former Overcast/Lifeboat PC network - including PGM
apollographql/apollo-android,:pager: A strongly-typed - caching GraphQL client for Android and the JVM
cyforever123/weex-hongkong,提交weex界面，业务逻辑代码以及android集成相关代码
AzimoLabs/Review-Reporter,Bot for reporting Google Play Reviews on Slack with possibility to fast reply and creating Jira issues from low rating reviews.
nomemory/mockneat,MockNeat is a Java 8+ library that facilitates the generation of arbitrary data for your applications.
apache/incubator-ratis,Mirror of Apache Ratis (Incubating)
jhipster/jhipster-sample-app-ng2,DEPRECATED now that Angular 2+ is the default - This is a sample application created with JHipster - using Angular 2
onlyliuxin/coding2017,
intuit/karate,Test Automation Made Simple
zstackio/zstack,ZStack - the open-source IaaS software http://zstack.org (国内用户请至 http://zstack.io)
mitdbg/modeldb,A system to manage machine learning models
Sixt/ja-micro,Lightweight framework for building java microservices
songxiaoliang/ReactNativeApp,1. 原生 App 中集成ReactNative、实现Android与React Native3种交互方式、2. 使用google-diff-match-patch生成补丁包，实现 React Native 热部署，增量热更新、3. 封装ReactActivity，实现JsBundle预加载，界面秒开优化、4.自定义ReactDegelate，实现Android现有布局添加RN视图
google/mug,
anthonyraymond/joal,An open source command line RatioMaster with an optional WebUI.
vaquarkhan/vaquarkhan,
blipinsk/cortado,Android Espresso made more fluent :coffee:
JavaEden/Orchid,Build and deploy beautiful documentation sites that grow with you
pf4j/pf4j,Plugin Framework for Java (PF4J)
hortonworks/streamline,StreamLine - Streaming Analytics 
tralves/weex-todo-list,A demo To-do app built with Weex and Vue2.0
Teradata/kylo,Kylo is a data lake management software platform and framework for enabling scalable enterprise-class data lakes on big data technologies such as Teradata - Apache Spark and/or  Hadoop. Kylo is licensed under Apache 2.0. Contributed by Teradata Inc.
Audiveris/audiveris,Latest generation of Audiveris OMR engine
synchrony/smsn,Semantic Synchrony. An experiment in cognitive and sensory augmentation.
alibaba/atlas,A powerful Android Dynamic Component Framework.
kiegroup/drools,Drools is a rule engine - DMN engine and complex event processing (CEP) engine for Java.
CogComp/cogcomp-nlp,CogComp's Natural Language Processing libraries and Demos: 
kiegroup/optaplanner,Java Constraint Solver to solve vehicle routing - employee rostering - task assignment - conference scheduling and other planning problems.
kiegroup/jbpm,a Business Process Management (BPM) Suite
uber/AutoDispose,Automatic binding+disposal of RxJava 2+ streams.
linkedin/flashback,mock the internet
jeddict/jeddict,Jakarta EE 8 (Java EE) & MicroProfile 3.2 application generator and modeler
modelmapper/modelmapper,Intelligent object mapping
lettuce-io/lettuce-core,Advanced Java Redis client for thread-safe sync - async - and reactive usage. Supports Cluster - Sentinel - Pipelining - and codecs.
resilience4j/resilience4j,Resilience4j is a fault tolerance library designed for Java8 and functional programming
jvm-profiling-tools/honest-profiler,A sampling JVM profiler without the safepoint sample bias
gudaoxuri/dew,微服务一站式解决方案，提供：架构指南、容器优先/兼容Spring Cloud与Istio的框架、最佳实践及Devops标准化流程。
swagger-api/swagger-core,Examples and server integrations for generating the Swagger API Specification - which enables easy access to your REST API
json-path/JsonPath,Java JsonPath implementation
castorini/Anserini,A Lucene toolkit for replicable information retrieval research
swagger-api/swagger-parser,Swagger Spec to Java POJOs
parse-community/Parse-SDK-Android,Parse SDK for Android
typ0520/bizsocket,异步socket，对一些业务场景做了支持
remkop/picocli,Picocli is a modern framework for building powerful - user-friendly - GraalVM-enabled command line apps with ease. It supports colors - autocompletion - subcommands - and more.  In 1 source file so apps can include as source & avoid adding a dependency. Written in Java - usable from Groovy - Kotlin - Scala - etc. 
salesforce/grpc-java-contrib,Useful extensions for the grpc-java library
facebook/litho,A declarative framework for building efficient UIs on Android.
mapbox/mapbox-navigation-android,Mapbox Navigation SDK for Android
beehive-lab/Maxine-VM,Maxine VM: A meta-circular research VM
reenWYJ/reen-sharding,轻量级的MySQL数据库的分库分表中间件
oracle/visualvm,VisualVM is an All-in-One Java Troubleshooting Tool
baidu/Jprotobuf-rpc-socket,Protobuf RPC是一种基于TCP协议的二进制RPC通信协议的Java实现
java-json-tools/json-schema-validator,A JSON Schema validation implementation in pure Java - which aims for correctness and performance - in that order
java-json-tools/json-patch,An RFC 6902 (JSON Patch) and reverse - plus RFC 7386 (JSON Merge Patch) - implementation in Java using Jackson (2.2.x)
networknt/light-4j,A fast - lightweight and more productive microservices framework
apache/carbondata,Mirror of Apache CarbonData
pravega/pravega,Pravega - Streaming as a new software defined storage primitive
rsocket/rsocket-java,Java implementation of RSocket
google/tink,Tink is a multi-language - cross-platform - open source library that provides cryptographic APIs that are secure - easy to use correctly - and hard(er) to misuse.
apache/metron,Apache Metron
apache/fineract,Apache Fineract
firebase/firebase-admin-java,Firebase Admin Java SDK
j-easy/easy-rules,The simple - stupid rules engine for Java
godlike110/tk-mybatis,tk-mybatis  修复一写问题
rsksmart/rskj,RSKj is a Java implementation of the RSK protocol.
yegor256/cactoos,Object-Oriented Java primitives - as an alternative to Google Guava and Apache Commons
j-easy/easy-batch,The simple - stupid batch framework for Java
ityouknow/spring-boot-examples,about learning Spring Boot via examples. Spring Boot 教程、技术栈示例代码，快速简单上手教程。 
ityouknow/spring-cloud-examples,Spring Cloud 学习案例，服务发现、服务治理、链路追踪、服务监控等
Aptoide/aptoide-client-v8,All the Apps you need. Discover your new Android App Store.
getsentry/sentry-java,A Sentry SDK for Java and other JVM languages.
apache/systemml,Mirror of Apache SystemML
locationtech/geowave,GeoWave provides geospatial and temporal indexing on top of Accumulo - HBase - BigTable - Cassandra - and DynamoDB
awslabs/dynamodb-janusgraph-storage-backend,The Amazon DynamoDB Storage Backend for JanusGraph
exercism/java,Exercism exercises in Java.
apache/pulsar,Apache Pulsar - distributed pub-sub messaging system
census-instrumentation/opencensus-java,A stats collection and distributed tracing framework
spring-cloud/spring-cloud-function,
aws/aws-sdk-java-v2,The official AWS SDK for Java - Version 2
spring-cloud/spring-cloud-gateway,A Gateway built on Spring Framework 5.x and Spring Boot 2.x providing routing and more.
marcosbarbero/spring-cloud-zuul-ratelimit,Rate limit auto-configure for Spring Cloud Netflix Zuul
MobiVM/robovm,Ahead of time compiler for JVM bytecode targetting iOS - Mac OSX and Linux
Microsoft/azure-maven-plugins,Maven plugins for Azure
commonsguy/cwac-saferoom,CWAC-SafeRoom: A Room<->SQLCipher for Android Bridge
FlowCI/flow-platform,[move to flow-platform-x] CI backend server and agent
capergroup/bayou,System for synthesizing Java API idioms - powered by Neural Sketch Learning
micrometer-metrics/micrometer,An application metrics facade for the most popular monitoring tools. Think SLF4J - but for metrics.
gentics/mesh,Gentics Mesh - The open source headless CMS for developers
eventuate-tram/eventuate-tram-core,Transactional messaging for microservices
zeebe-io/zeebe,Distributed Workflow Engine for Microservices Orchestration
jtablesaw/tablesaw,Java dataframe and visualization library
vespa-engine/vespa,Vespa is an engine for low-latency computation over large data sets.
TeamAmaze/AmazeFileManager,Material design file manager for Android
UniversaBlockchain/universa,Universa network - node - client and API
linkedin/cruise-control,Cruise-control is the first of its kind to fully automate the dynamic workload rebalance and self-healing of a kafka cluster. It provides great value to Kafka users by simplifying the operation of Kafka clusters.
confluentinc/ksql,The event streaming database purpose-built for stream processing applications
confluentinc/kafka-streams-examples,Demo applications and code examples for Apache Kafka's Streams API.
kingston-csj/Jforgame,jforgame是一个一站式游戏服务端开发框架，包含游戏服，跨服，匹配服，后台管理系统等模块。同时提供大量业务案例以供学习。
actiontech/dble,A High Scalability Middle-ware for MySQL Sharding
Microsoft/azure-spring-boot,Spring Boot Starters for Azure services
vladmihalcea/hibernate-types,The Hibernate Types library gives you extra types that are not supported by the Hibernate ORM core.
line/centraldogma,Highly-available version-controlled service configuration repository based on Git - ZooKeeper and HTTP/2
SonarSource/SonarJS,SonarJS: JavaScript and TypeScript Analyzer for SonarQube
apache/rocketmq,Mirror of Apache RocketMQ
vaadin/flow,Flow is a Java framework binding Vaadin web components to Java. This is part of Vaadin 10+.
fnproject/fdk-java,Java API and runtime for fn.
graphaware/neo4j-nlp,NLP Capabilities in Neo4j
jaegertracing/jaeger-client-java,Jaeger Bindings for Java OpenTracing API
adamkewley/jobson,A platform for transforming command-line applications into a job service.
uber/AthenaX,SQL-based streaming analytics platform at scale
aosp-mirror/platform_frameworks_base,
facebookincubator/Battery-Metrics,Library that helps in instrumenting battery related system metrics.
aosp-mirror/platform_frameworks_support,
rhwayfun/spring-boot-learning-examples,Spring Boot工程实践，快速上手Spring Boot开发必备。最全的Spring Boot使用案例！
Kong/unirest-java,Unirest in Java: Simplified - lightweight HTTP client library.
mycelium-com/wallet-android,Mycelium Bitcoin Wallet for Android
jzyong/game-server,Distributed Java game server - including cluster management server - gateway server - hall server - game logic server - background monitoring server and a running web version of fishing. State machine - behavior tree - A* pathfinding - navigation mesh and other AI tools
real-logic/artio,Artio - Resilient High-Performance FIX Gateway
uber/RIBs,Uber's cross-platform mobile architecture framework.
salesforce/reactive-grpc,Reactive stubs for gRPC
dyn4j/dyn4j,Java Collision Detection and Physics Engine
spring-projects/spring-data-jdbc,Spring Data JDBC
d4rken/RxShell,Easy shell access for Android apps using RxJava.
apache/skywalking,APM - Application Performance Monitoring System
Microsoft/pai,Resource scheduling and cluster management for AI
mybatis/mybatis-dynamic-sql,SQL Generator for MyBatis or Spring JDBC Templates
oracle/OpenGrok,OpenGrok is a fast and usable source code search and cross reference engine - written in Java
aliyun/tablestore-timeline,TableStore-Timeline Model for Social scene
vlingo/vlingo-actors,The vlingo/PLATFORM type safe Actor Model toolkit for reactive concurrency and resiliency using Java and other JVM languages.
apache/ServiceComb-Java-Chassis,ServiceComb Java Chassis is a Software Development Kit (SDK) for rapid development of microservices in Java - providing service registration - service discovery - dynamic routing - and service management features
SeldonIO/seldon-core,Machine Learning Deployment for Kubernetes
lets-blade/blade,:rocket: Lightning fast and elegant mvc framework for Java8
alfio-event/alf.io,alf.io - The open source ticket reservation system for conferences - trade shows - workshops - meetups
tronprotocol/java-tron,Java implementation of the Tron whitepaper
Netflix/iceberg,Iceberg is a table format for large - slow-moving tabular data
SourceLabOrg/kafka-webview,Full-featured web-based Apache Kafka consumer UI
theotherp/nzbhydra2,Usenet meta search
oracle/graal,GraalVM: Run Programs Faster Anywhere :rocket:
uber-common/jvm-profiler,JVM Profiler Sending Metrics to Kafka - Console Output or Custom Reporter
secure-software-engineering/FlowDroid,FlowDroid Static Data Flow Tracker
oracle/fastr,A high-performance implementation of the R programming language - built on GraalVM.
signalapp/Signal-Server,
spotify/mobius,A functional reactive framework for managing state evolution and side-effects.
Spirals-Team/repairnator,Software development bot that automatically repairs programs and build failures on Travis Continuous Integration. Join the bot revolution! :star2::robot::star2::revolving_hearts:
NationalSecurityAgency/datawave,DataWave is an ingest/query framework that leverages Apache Accumulo to provide fast - secure data access.
biezhi/excel-plus,❇️ Improve the productivity of the Excel operation library. https://git.io/vNjQy
alibaba/easyexcel,快速、简单避免OOM的java处理Excel工具
oracle/weblogic-kubernetes-operator,Oracle Weblogic Server Kubernetes Operator
spring-cloud/spring-cloud-openfeign,Support for using OpenFeign in Spring Cloud apps
GoogleCloudPlatform/DataflowTemplates,Google-provided Cloud Dataflow template pipelines for solving simple in-Cloud data tasks
logzio/apollo,Apollo - The logz.io continuous deployment solution over kubernetes
qaprosoft/zafira,Zafira QA automation reporting backend.
ff4j/ff4j,Feature Flags for Java made easy
schemacrawler/SchemaCrawler,Free database schema discovery and comprehension tool
ICIJ/datashare,Better analyze information - in all its forms
elastic/apm-agent-java,Elastic APM Java Agent
google/data-transfer-project,The Data Transfer Project makes it easy for people to transfer their data between online service providers. We are establishing a common framework - including data models and protocols - to enable direct transfer of data both into and out of participating online service providers.
journaldev/journaldev,JournalDev Projects
airbnb/SpinalTap,Change Data Capture (CDC) service
codecentric/chaos-monkey-spring-boot,Chaos Monkey for Spring Boot
Netflix/concurrency-limits,
Discord4J/Discord4J,A fast and reactive JVM-based REST/WS wrapper for the official Discord Bot API - written in Java
traccar/traccar,Traccar GPS Tracking System
gexiangdong/tutorial,Spring Boot的例子，包含RESTful API - MVC - JMS - Cache - Mybatis - Cache - Websocket...
spring-io/spring-javaformat,
ballerina-platform/ballerina-lang,The Ballerina Programming Language
knowm/XChange,XChange is a Java library providing a streamlined API for interacting with 60+ Bitcoin and Altcoin exchanges providing a consistent interface for trading and accessing market data.
PhoenicisOrg/phoenicis,Phoenicis PlayOnLinux and PlayOnMac 5 repository
yandextaxitech/binaryprefs,Rapidly fast and lightweight re-implementation of SharedPreferences  which stores each preference in files separately - performs disk operations  via NIO with memory mapped byte buffers and works IPC (between processes).  Written from scratch.
spinnaker/kayenta,Automated Canary Service
google/flogger,A Fluent Logging API for Java
Netflix/titus-control-plane,Titus is the Netflix Container Management Platform that manages containers and provides integrations to the infrastructure ecosystem.
GoogleContainerTools/jib,🏗 Build container images for your Java applications.
xgdsmileboy/SimFix,Automatically fix programs by leveraging existing patches from other projects and similar code snippets from the faulty project.
thorntail/thorntail,Source code for the Thorntail project
google/bundletool,Bundletool is a command-line tool to manipulate Android App Bundles
LuoLiangDSGA/Spring-Learning,:fire::fire::tada:Spring Learning Project - Enjoy it
americanexpress/nodes,A GraphQL JVM Client - Java - Kotlin - Scala - etc.
lxy-go/SpringBoot,这是一个SpringBoot的从入门程序集锦
ctripcorp/vi,帮助了解和控制应用
ConsenSys/eventeum,A resilient Ethereum event listener that bridges your smart contract events and backend microservices
nordic-institute/X-Road,Source code of the X-Road data exchange layer software.
strimzi/strimzi-kafka-operator,Apache Kafka running on Kubernetes
Microsoft/spring-cloud-azure,Spring Cloud integration with Azure services 
DependencyTrack/dependency-track,Dependency-Track is an intelligent Supply Chain Component Analysis platform that allows organizations to identify and reduce risk from the use of third-party and open source components.
yahoo/HaloDB,A fast - log structured key-value store.
harbby/sylph,Stream computing platform for bigdata
apache/incubator-druid,Apache Druid: a high performance real-time analytics database.
wangzheng0822/ratelimiter4j,Java rate limiting library/framework
ucbrise/anna,
alibaba/Sentinel,A lightweight powerful flow control component enabling reliability and monitoring for microservices. (轻量级的流量控制、熔断降级 Java 库)
classgraph/classgraph,An uber-fast - ultra-lightweight - parallelized Java classpath scanner and module scanner.
